FID	X	Y	ID	Sample_num	Elevation	Longitude	Latitude	Rock_Type	Soil_Colou	Other_deta	pH	LOI	Li	Be	V	Cr	Co	Ni	Cu	Ga	As_	Se	Rb	Sr	Y_1	Zr	Nb	Mo	Ag	Cd	Sn	Sb	Cs	Ba	La	Ce	Pr	Nd	Sm	Eu	Tb	Gd	Dy	Ho	Er	Tm	Yb	Lu	Hf	Ta	W	Tl	Bi	Th	U	Na	Mg	Al	P	K	Ca	Ti	Mn	Fe	Zn	Pb	Elevation	slope	Apspect
0	9.72396	5.90761	1	1	818	9.72396	5.90761	granitic	Dark brown	Gentle slope	3.95	12.22	33.8	1.74	103	83	15.7	38.2	40.3	30.2	3.76	1.22	115	102	10.9	124	23.3	1.78	0.13	0.113	7.9	0.55	6.81	614	34.1	90.2	6.98	24.3	4.62	0.958	0.469	3.3	2.62	0.44	1.29	0.17	1.07	0.172	3.61	1.41	1.13	0.63	0.36	16.9	3.13	3535	7435	121091	953	19297	3654	6377	967	48968	121	44	771	23.92372513	47.97373199
1	9.75984	5.90129	2	2	1004	9.75984	5.90129	Granitic	Dark-brown	"Collected at the slope of a hill, palm plantation.Sample collected 700m due to inaccessibility"	3.94	12.91	34.2	1.29	97	47	10.6	23.4	18.2	37.8	3.02	1.25	125	120	14.6	139	24.5	1.93	0.06	0.054	7.3	0.23	6.33	850	70.5	159	14.9	49.7	8.95	1.72	0.794	5.83	4.19	0.697	1.95	0.253	1.73	0.253	4.22	1.57	1.05	0.6	0.42	31.6	4.9	1510	5580	156998	808	27834	787	6067	432	48680	80	45	1057	37.65343094	207.6459808
2	9.79832	5.90917	3	3	944	9.79832	5.90917	Granitic	Reddish brown	"Collected near a farmland (cassava, palms, cocoyams). Collected 300m from the central point."	3.87	10.4	18.3	0.99	131	81	7.83	39.4	29.6	41	6.29	1.46	99	57	9.19	218	37.1	3.77	0.12	0.058	6	0.39	6.15	251	57.2	165	10	30.2	4.97	1.06	0.416	3.07	2.31	0.403	1.28	0.175	1.24	0.206	6.44	2.62	1.58	0.49	0.33	55.2	8.19	572	2542	155111	769	11048	128	7357	277	62181	86	56	942	11.49405956	199.8851624
3	9.84038	5.90794	4	4	560	9.84038	5.90794	Granitic	Reddish brown	"slope, palm plantation"	3.87	8.98	31.3	1.91	84	43	7.07	18.3	14.4	52	2.68	1.58	157	88	9.75	224	25.2	3.12	0.06	0.059	6.9	0.36	8.65	515	58.6	244	10.7	32.4	5.44	1.09	0.43	3.17	2.34	0.409	1.35	0.197	1.39	0.239	6.9	2.04	0.97	0.9	0.26	87.7	12.3	865	2859	179111	464	23690	207	4526	147	44819	65	76	1635	20.22473526	239.4702911
4	9.87918	5.90794	5	5	1582	9.87918	5.90794	Granitic	Dark	"Gentle slope, grazing land"	4.09	26.09	30.6	1.45	85	43	6.54	21.2	26.7	39.7	2.93	1.3	119	114	10.7	196	26.3	2.65	0.08	0.083	7	0.6	6.69	602	66.8	201	13.2	41.8	6.89	1.34	0.514	4.02	2.68	0.468	1.29	0.172	1.15	0.183	5.66	2.1	1.07	0.59	0.23	62.5	8.51	1497	2528	134175	1356	19440	860	5520	492	42344	76	64	1467	23.46161461	96.45881653
5	9.918	5.90793	6	6	1581	9.918	5.90793	"Granitic, basaltic"	Dark-brown	"Slope of a hill, Thick grass cover"	4.6	18.37	9.6	2.16	363	405	49.9	229	56.9	29.6	2.35	0.9	18	186	53.9	339	103	2.64	0.07	0.112	4.2	0.29	1.42	385	95.5	201	24.4	91.6	18.4	6.28	2.06	15.4	11.4	1.99	5.75	0.665	4.13	0.622	8.24	6.13	1.38	0.17	0.11	18.6	3.54	250	6114	117526	2573	2396	1553	32058	1379	148933	113	18	1152	17.43162155	211.218399
6	9.95423	5.90566	7	7	1307	9.95423	5.90566	granitic	"GRANITIC OUTCROP, ON HILL TOP SURROUNDED BY THICK FOREST"	 	4.53	18.81	25.4	1.1	101	45	11.7	29.5	27	37.7	2.25	1.16	136	130	11.7	179	30.3	3.33	0.05	0.044	5.2	0.27	7.31	750	86.5	237	16	48.1	7.41	1.53	0.58	4.55	3.06	0.505	1.53	0.21	1.43	0.213	5.09	3.12	1.01	0.66	0.28	62.7	11.2	1136	5596	171743	1327	31150	996	6655	351	47010	72	71	1578	4.017453194	100.0079803
7	9.99555	5.90761	8	8	1580	9.99555	5.90761	granitic	"GRANITIC OUTCROP, FINE TO MEDIUM GRAINED DARK SOIL"	 	4.03	12.69	16.9	2.12	71	25	8.79	17.2	24.9	35.3	1.7	0.92	81	50	9.27	70	16	1.98	0.03	0.037	5.4	0.32	4.68	454	54.5	171	11.5	38.8	6.78	1.62	0.508	3.99	2.77	0.439	1.33	0.174	1.25	0.187	2.27	1.12	0.94	0.51	0.24	22.7	4.35	765	2162	158660	509	20946	266	4830	123	44172	54	60	1306	14.41962528	274.5377808
8	10.03442	5.9079	9	9	1323	10.03442	5.9079	Granitic	dark brown	grass field	4.34	26.82	7.4	1.19	199	148	6.83	35.7	28.9	36.1	3.5	1.35	10	99	23.8	577	124	4.18	0.09	0.097	5.2	0.38	1.27	200	114	260	26.8	93.4	16.9	4.15	1.47	11.2	7.63	1.16	3.2	0.389	2.57	0.377	13.3	7.29	1.9	0.12	0.22	20.8	4.25	259	1397	135162	1750	1505	574	17509	466	109574	49	25	1328	8.563798904	128.4180603
9	10.07327	5.90793	10	10	1233	10.07327	5.90793	Granitic	Black	"Slopy terrane, Forest land"	4.16	11.38	38.3	1.43	87	53	11.8	23.9	22.7	37.3	1.74	0.97	126	74	15.5	106	23.1	1.55	0.05	0.024	6.7	0.14	8.77	726	50.2	153	12.6	44.4	8.46	1.84	0.741	5.72	4.05	0.701	1.99	0.268	1.77	0.264	3.23	1.48	2.4	0.83	0.64	35.6	4.82	1345	4479	157459	414	26751	297	5241	205	49229	65	45	1418	16.18612289	354.3693237
